question,team1,team2,end_date,year,p_model,p_market,edge,result,bet_direction,kelly_size,stake,directional_pnl,total_pnl,cumulative_pnl,model_correct,elo_correct,volume
LEC: G2 Esports vs. GIANTX,G2 Esports,GIANTX,2025-04-26,2025,0.741,0.713149531921888,0.0279,0,YES,0.0193,193.0,-138.8223,-138.8223,-138.8223,0,0,2776.65
LEC: Movistar vs. Fnatic,Movistar,Fnatic,2025-04-26,2025,0.3392,0.4076715431881209,-0.0685,1,NO,0.0382,382.0,-229.0368,-229.0368,-367.8591,0,0,3177.06
LEC: G2 vs. Fnatic,G2,Fnatic,2025-04-27,2025,0.4987,0.7847806990347472,-0.2861,0,NO,0.0901,901.0,702.522,702.522,334.663,1,0,3233.08
LEC: GIANTX vs. Movistar ,GIANTX,Movistar,2025-04-27,2025,0.4037,0.21521930096525285,0.1885,0,YES,0.0588,588.0,-129.5283,-129.5283,205.1346,1,1,1900.67
LPL: Ninjas in Pyjamas vs. Anyone's Legend,Ninjas in Pyjamas,Anyone's Legend,2025-04-27,2025,0.301,0.2365227872738105,0.0645,0,YES,0.0195,195.0,-47.1783,-47.1783,157.9563,1,1,1370.81
LEC: Fnatic vs. G2,Fnatic,G2,2025-05-24,2025,0.6383,0.747594242925898,-0.1093,0,NO,0.0349,349.0,258.9347,258.9347,416.891,0,0,14769.85
LEC: Karmine Corp vs. Movistar KOI,Karmine Corp,Movistar KOI,2025-05-25,2025,0.4678,0.5163467801443761,-0.0485,0,NO,0.0202,202.0,102.7887,102.7887,519.6797,1,0,12496.41
LEC: G2 vs. Movistar KOI,G2,Movistar KOI,2025-05-26,2025,0.4841,0.49940159218981867,-0.0153,1,PASS,0.0,0.0,0.0,0.0,519.6797,0,0,77700.09
LEC: Karmine Corp vs. Fnatic,Karmine Corp,Fnatic,2025-06-02,2025,0.5241,0.7436736638623394,-0.2196,1,NO,0.0724,724.0,-189.7206,-189.7206,329.9591,1,1,56310.46
MSI Play-in: FURIA vs. GAM,Play-in: FURIA,GAM,2025-06-29,2025,0.6886,0.3746695750614612,0.3139,0,YES,0.1,1000.0,-381.6983,-381.6983,-51.7393,0,1,60983.6
MSI Playoffs: Gen.G vs. G2,Playoffs: Gen.G,G2,2025-07-02,2025,0.6711,0.574219326685081,0.0969,1,YES,0.0535,535.0,223.8686,223.8686,172.1293,1,1,164730.18
MSI Playoffs: Anyone's Legend vs. FlyQuest,Playoffs: Anyone's Legend,FlyQuest,2025-07-04,2025,0.6722,0.5725122820129386,0.0997,1,YES,0.0549,549.0,230.6599,230.6599,402.7892,1,1,88100.32
