model,fold,log_loss,brier,accuracy
lasso_lr,0,0.6091080347942005,0.21031296072161249,0.6826347305389222
ridge_lr,0,0.6070851741224786,0.20951449484695783,0.6730538922155689
elasticnet,0,0.6087557214072581,0.2101667875940329,0.6790419161676646
logistic,0,0.6081876473850285,0.2099736483508655,0.6724550898203593
xgboost,0,0.6077499918170698,0.21014751493930817,0.667065868263473
lasso_lr,1,0.6007832041675413,0.20683889983632764,0.688360450563204
ridge_lr,1,0.5996246233521909,0.2062817322301472,0.6946182728410513
elasticnet,1,0.6006164027372712,0.20676927536043763,0.6896120150187734
logistic,1,0.6039176900161741,0.20806073528249255,0.6777221526908636
xgboost,1,0.6028601835858999,0.2077385038137436,0.6777221526908636
lasso_lr,2,0.5942763690531752,0.20478529302495194,0.6832694763729247
ridge_lr,2,0.5967253257094945,0.2060670191121146,0.6724137931034483
elasticnet,2,0.5945594836635478,0.20492202856690556,0.685823754789272
logistic,2,0.5999476065504962,0.20744485000241808,0.6756066411238825
xgboost,2,0.5983145642040573,0.2064504474401474,0.6832694763729247
lasso_lr,3,0.6347098712091048,0.22218688025117686,0.6392092257001647
ridge_lr,3,0.6371743166565792,0.22319820649368746,0.6334431630971994
elasticnet,3,0.6348684854383563,0.2222421360532084,0.6293245469522241
logistic,3,0.6420949327006857,0.225141416061473,0.6112026359143328
xgboost,3,0.6379091522252934,0.22372718155384064,0.6359143327841845
lasso_lr,4,0.6813742092372863,0.24381259208517872,0.5532786885245902
ridge_lr,4,0.6776725825474935,0.24181956486755943,0.5430327868852459
elasticnet,4,0.6814790505431173,0.24380942416932233,0.5491803278688525
logistic,4,0.6932541671379662,0.2483898721578714,0.5655737704918032
xgboost,4,0.6829638063948276,0.244505375623703,0.5594262295081968
lasso_lr,5,0.6938000153828857,0.2493549943071285,0.5480769230769231
ridge_lr,5,0.7003892676468373,0.2523502213240461,0.5384615384615384
elasticnet,5,0.6941278259301326,0.24948101775504375,0.5480769230769231
logistic,5,0.6931573732464199,0.24813895820391782,0.5576923076923077
xgboost,5,0.682663298980272,0.24429450929164886,0.5817307692307693
lasso_lr,6,0.6620062510167571,0.2347779802942828,0.6051282051282051
ridge_lr,6,0.6600941944093699,0.23359774716622628,0.6051282051282051
elasticnet,6,0.6616118772286961,0.2346110038638671,0.6
logistic,6,0.6589225189618046,0.23228544192024048,0.6153846153846154
xgboost,6,0.6615106671197654,0.23512248694896698,0.5820512820512821
lasso_lr,7,0.6190785529429631,0.21536469325366553,0.6528497409326425
ridge_lr,7,0.6161141054688098,0.21423425258065448,0.6735751295336787
elasticnet,7,0.6188097834133597,0.2152418661186034,0.6476683937823834
logistic,7,0.6214811314638188,0.21635214771473293,0.6424870466321243
xgboost,7,0.621262215306667,0.2164316177368164,0.6295336787564767
lasso_lr,8,0.6532815342557832,0.2306982190826025,0.6402877697841727
ridge_lr,8,0.6500940875883092,0.22919749375138626,0.6258992805755396
elasticnet,8,0.6539585958303223,0.23102350278513842,0.6330935251798561
logistic,8,0.662614080197829,0.23459559138471744,0.5971223021582733
xgboost,8,0.6448385850344742,0.2264583557844162,0.6690647482014388
lasso_lr,9,0.6741686003967015,0.2392513182954706,0.5982142857142857
ridge_lr,9,0.6774750798277248,0.24094556771154757,0.578125
elasticnet,9,0.6748231400396183,0.23954737342454893,0.5982142857142857
logistic,9,0.6952680454666166,0.24718157595159476,0.6026785714285714
xgboost,9,0.6699642565959822,0.23778925836086273,0.5892857142857143
lasso_lr,10,0.6971282477294292,0.25170787353477686,0.5565217391304348
ridge_lr,10,0.701752505206609,0.25341505827343364,0.5652173913043478
elasticnet,10,0.6980290788839709,0.2520573734791422,0.5478260869565217
logistic,10,0.7138851641575071,0.25824101911420766,0.5478260869565217
xgboost,10,0.7103383267653028,0.2569686472415924,0.5652173913043478
lasso_lr,11,0.6663915235770275,0.23746433080231089,0.5483870967741935
ridge_lr,11,0.6601153405922622,0.23423089363640923,0.5564516129032258
