model,fold,log_loss,brier,accuracy
lasso_lr,0,0.6110229844391765,0.21151366642026287,0.6826347305389222
ridge_lr,0,0.6103271198145562,0.21114561958689498,0.6808383233532934
elasticnet,0,0.6111201783396442,0.21155894695889527,0.6820359281437126
logistic,0,0.6103486875029248,0.21115471774767208,0.681437125748503
xgboost,0,0.6090662774078558,0.21084053814411163,0.6640718562874252
lasso_lr,1,0.6046961857444457,0.2086003826469947,0.6833541927409261
ridge_lr,1,0.6044038204071955,0.20851798085926257,0.6846057571964956
elasticnet,1,0.6052168803436815,0.20879775452467025,0.6783479349186483
logistic,1,0.6044355811088477,0.20853093071622006,0.6846057571964956
xgboost,1,0.6055488228548317,0.2091417908668518,0.6683354192740926
lasso_lr,2,0.6035679544907973,0.20917031151057033,0.6564495530012772
ridge_lr,2,0.6027148132571801,0.20889925560750042,0.6590038314176245
elasticnet,2,0.604726978116264,0.20959296981035772,0.6564495530012772
logistic,2,0.6027050153802894,0.20889185249555098,0.6583652618135377
xgboost,2,0.6021657637423579,0.2082224041223526,0.6596424010217113
lasso_lr,3,0.6410373714777133,0.22470534372135292,0.6326194398682042
ridge_lr,3,0.6411984950246827,0.22487698180071847,0.6293245469522241
elasticnet,3,0.6413767754895031,0.22483278500689696,0.6309719934102141
logistic,3,0.6412279323697019,0.2248897333567881,0.6293245469522241
xgboost,3,0.6379203546345308,0.22358056902885437,0.6532125205930808
lasso_lr,4,0.6966817023849904,0.25023730544589784,0.5491803278688525
ridge_lr,4,0.6958434285560703,0.24977356911586496,0.5409836065573771
elasticnet,4,0.6966963401406867,0.2502736371162863,0.5532786885245902
logistic,4,0.6958885776172504,0.24979309895293172,0.5409836065573771
xgboost,4,0.6855200496943392,0.24518850445747375,0.5676229508196722
lasso_lr,5,0.6827571208793493,0.2431823114436566,0.5865384615384616
ridge_lr,5,0.6869794461311081,0.24497221959315704,0.5913461538461539
elasticnet,5,0.6831647666327741,0.24332362022819426,0.5865384615384616
logistic,5,0.6869690327184963,0.2449609494991628,0.5913461538461539
xgboost,5,0.6742782251379359,0.23989281058311462,0.5769230769230769
lasso_lr,6,0.6579393339238815,0.23215676696297058,0.6205128205128205
ridge_lr,6,0.6559987542124605,0.23089709124811392,0.6205128205128205
elasticnet,6,0.6587541564363575,0.23254012599051155,0.6205128205128205
logistic,6,0.6554530250320956,0.2306463815750056,0.6205128205128205
xgboost,6,0.6525077668619056,0.23054121434688568,0.5948717948717949
lasso_lr,7,0.6253002345443924,0.2184203622271973,0.6217616580310881
ridge_lr,7,0.6266722373550526,0.2188911833842257,0.6217616580310881
elasticnet,7,0.6253583642759125,0.21848911570573476,0.6269430051813472
logistic,7,0.6266852154571618,0.21889418386897802,0.6217616580310881
xgboost,7,0.6225950557382212,0.21705247461795807,0.6243523316062176
lasso_lr,8,0.6678803135688499,0.2368409828439595,0.5971223021582733
ridge_lr,8,0.6680666061899286,0.2368792770966516,0.60431654676259
elasticnet,8,0.6682936493215299,0.23701535096818704,0.5971223021582733
logistic,8,0.668082838081949,0.23688509226107593,0.60431654676259
xgboost,8,0.6555854261151917,0.2310749888420105,0.6402877697841727
lasso_lr,9,0.6945888042742137,0.24642249060955787,0.5982142857142857
ridge_lr,9,0.6946873672427195,0.24637892951617538,0.5982142857142857
elasticnet,9,0.6947066702844872,0.24639344861802023,0.5982142857142857
logistic,9,0.6947088755233798,0.2463810196248209,0.5982142857142857
xgboost,9,0.6837388924946441,0.24385668337345123,0.5892857142857143
lasso_lr,10,0.7272199662166654,0.2647524006582631,0.5130434782608696
ridge_lr,10,0.7251754976698471,0.26384546774315404,0.5043478260869565
elasticnet,10,0.7281734197402421,0.26520334433281534,0.4956521739130435
logistic,10,0.7252444515717729,0.26387769671840167,0.5043478260869565
xgboost,10,0.7101840970936332,0.2564086318016052,0.5347826086956522
lasso_lr,11,0.660716534727798,0.23437655476628713,0.532258064516129
ridge_lr,11,0.6605646834297902,0.23426755592056733,0.532258064516129
elasticnet,11,0.6611094865086544,0.23453080737821455,0.532258064516129
logistic,11,0.6605958720231884,0.2342789274501393,0.532258064516129
xgboost,11,0.6779648760395018,0.24320288002490997,0.5241935483870968
lasso_lr,12,0.631593318297761,0.21913006623737274,0.6682692307692307
